datum,ervaring,geslacht,gewichtsklasse,ploeg,naam,zone,trainingype,500_split,aantal_intervallen,intervaltype,interval_afstand,interval_tijd,interval_nummer,rust,machine,spm,2k tijd,2k datum
13-10-2021,1,M,Z,MGH,z7,I,3x2000m/5'r,,3,afstand,2000,,1,300,ergometer,24-26-28-30,,11-12-2021
13-10-2021,1,M,Z,MGH,z7,I,3x2000m/5'r,,3,afstand,2000,,2,300,ergometer,24-26-28-30,,11-12-2021
13-10-2021,1,M,Z,MGH,z7,I,3x2000m/5'r,,3,afstand,2000,,3,300,ergometer,24-26-28-30,,11-12-2021
13-10-2021,1,M,Z,MGH,z48,I,3x2000m/5'r,1:44.0,3,afstand,2000,,1,300,ergometer,24-26-28-30,6:34.1,11-12-2021
13-10-2021,1,M,Z,MGH,z48,I,3x2000m/5'r,1:45.0,3,afstand,2000,,2,300,ergometer,24-26-28-30,6:34.1,11-12-2021
13-10-2021,1,M,Z,MGH,z48,I,3x2000m/5'r,1:45.0,3,afstand,2000,,3,300,ergometer,24-26-28-30,6:34.1,11-12-2021
13-10-2021,1,M,Z,MGH,z5,I,3x2000m/5'r,1:41.4,3,afstand,2000,,1,300,ergometer,24-26-28-30,6:11.8,11-12-2021
13-10-2021,1,M,Z,MGH,z5,I,3x2000m/5'r,1:40.6,3,afstand,2000,,2,300,ergometer,24-26-28-30,6:11.8,11-12-2021
13-10-2021,1,M,Z,MGH,z5,I,3x2000m/5'r,1:39.7,3,afstand,2000,,3,300,ergometer,24-26-28-30,6:11.8,11-12-2021
13-10-2021,1,M,Z,MGH,z6,I,3x2000m/5'r,,3,afstand,2000,,1,300,ergometer,24-26-28-30,6:29.4,11-12-2021
13-10-2021,1,M,Z,MGH,z6,I,3x2000m/5'r,,3,afstand,2000,,2,300,ergometer,24-26-28-30,6:29.4,11-12-2021
13-10-2021,1,M,Z,MGH,z6,I,3x2000m/5'r,,3,afstand,2000,,3,300,ergometer,24-26-28-30,6:29.4,11-12-2021
,,,,,,,,,,,,,,,,,,
20-10-2021,1,M,Z,MGH,z4,I,3x2000m/5'r,1:40.8,3,afstand,2000,,1,300,ergometer,24-26-28-30,6:21.6,11-12-2021
20-10-2021,1,M,Z,MGH,z4,I,3x2000m/5'r,1:43.5,3,afstand,2000,,2,300,ergometer,24-26-28-30,6:21.6,11-12-2021
20-10-2021,1,M,Z,MGH,z4,I,3x2000m/5'r,1:43.8,3,afstand,2000,,3,300,ergometer,24-26-28-30,6:21.6,11-12-2021
20-10-2021,1,M,Z,MGH,z3,I,3x2000m/5'r,1:43.7,3,afstand,2000,,1,300,ergometer,24-26-28-30,6:30.4,11-12-2021
20-10-2021,1,M,Z,MGH,z3,I,3x2000m/5'r,1:47.3,3,afstand,2000,,2,300,ergometer,24-26-28-30,6:30.4,11-12-2021
20-10-2021,1,M,Z,MGH,z3,I,3x2000m/5'r,1:48.3,3,afstand,2000,,3,300,ergometer,24-26-28-30,6:30.4,11-12-2021
20-10-2021,1,M,Z,MGH,z7,I,3x2000m/5'r,,3,afstand,2000,,1,300,ergometer,24-26-28-30,,11-12-2021
20-10-2021,1,M,Z,MGH,z7,I,3x2000m/5'r,,3,afstand,2000,,2,300,ergometer,24-26-28-30,,11-12-2021
20-10-2021,1,M,Z,MGH,z7,I,3x2000m/5'r,,3,afstand,2000,,3,300,ergometer,24-26-28-30,,11-12-2021
20-10-2021,1,M,Z,MGH,z48,I,3x2000m/5'r,1:44.1,3,afstand,2000,,1,300,ergometer,24-26-28-30,6:34.1,11-12-2021
20-10-2021,1,M,Z,MGH,z48,I,3x2000m/5'r,1:45.0,3,afstand,2000,,2,300,ergometer,24-26-28-30,6:34.1,11-12-2021
20-10-2021,1,M,Z,MGH,z48,I,3x2000m/5'r,1:46.0,3,afstand,2000,,3,300,ergometer,24-26-28-30,6:34.1,11-12-2021
20-10-2021,1,M,Z,MGH,z5,I,3x2000m/5'r,1:40.0,3,afstand,2000,,1,300,ergometer,24-26-28-30,6:11.8,11-12-2021
20-10-2021,1,M,Z,MGH,z5,I,3x2000m/5'r,1:41.3,3,afstand,2000,,2,300,ergometer,24-26-28-30,6:11.8,11-12-2021
